IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
84.235.174.248,443,443,true,AMS,Europe,Amsterdam,189,12.00
141.147.169.131,2082,2082,false,NRT,Asia Pacific,Tokyo,78,12.00
89.168.105.99,443,443,true,FRA,Europe,Frankfurt,160,12.00
143.47.182.93,443,443,true,FRA,Europe,Frankfurt,170,12.00
158.179.186.251,2086,2086,false,NRT,Asia Pacific,Tokyo,92,11.99
138.2.14.248,8443,8443,true,NRT,Asia Pacific,Tokyo,79,11.98
158.179.186.234,2096,2096,true,NRT,Asia Pacific,Tokyo,134,11.97
158.101.70.155,2083,2083,true,NRT,Asia Pacific,Tokyo,86,11.97
138.2.14.248,2095,2095,false,NRT,Asia Pacific,Tokyo,87,11.97
129.159.201.143,443,443,true,FRA,Europe,Frankfurt,157,11.96
138.2.165.165,443,443,true,FRA,Europe,Frankfurt,180,11.96
150.230.105.228,2052,2052,false,NRT,Asia Pacific,Tokyo,75,11.95
150.230.108.135,2095,2095,false,NRT,Asia Pacific,Tokyo,78,11.95
150.230.221.219,2053,2053,true,NRT,Asia Pacific,Tokyo,84,11.94
151.145.68.166,2095,2095,false,NRT,Asia Pacific,Tokyo,87,11.94
144.24.181.143,443,443,true,FRA,Europe,Frankfurt,163,11.94
144.24.172.122,443,443,true,FRA,Europe,Frankfurt,180,11.93
158.179.180.233,2096,2096,true,NRT,Asia Pacific,Tokyo,105,11.93
89.168.104.217,443,443,true,FRA,Europe,Frankfurt,164,11.93
141.147.26.226,443,0,true,FRA,Europe,Frankfurt,160,11.92
141.147.174.7,8880,8880,false,NRT,Asia Pacific,Tokyo,89,11.92
141.144.205.254,443,443,true,FRA,Europe,Frankfurt,155,11.92
138.2.166.108,443,443,true,IAD,North America,Ashburn,189,11.90
144.24.162.87,443,443,true,FRA,Europe,Frankfurt,184,11.89
150.230.109.252,2095,2095,false,NRT,Asia Pacific,Tokyo,78,11.88
84.235.164.99,443,443,true,FRA,Europe,Frankfurt,163,11.88
150.230.216.34,8880,8880,false,NRT,Asia Pacific,Tokyo,76,11.87
140.83.38.243,2082,2082,false,NRT,Asia Pacific,Tokyo,75,11.87
150.230.104.197,2082,2082,false,NRT,Asia Pacific,Tokyo,88,11.87
138.2.14.209,2052,2052,false,NRT,Asia Pacific,Tokyo,78,11.86
138.2.24.114,8880,8880,false,NRT,Asia Pacific,Tokyo,78,11.83
138.3.223.70,2086,2086,false,NRT,Asia Pacific,Tokyo,76,11.83
138.2.14.164,2082,2082,false,NRT,Asia Pacific,Tokyo,79,11.83
158.180.20.218,443,443,true,FRA,Europe,Frankfurt,178,11.83
138.2.14.209,8080,8080,false,NRT,Asia Pacific,Tokyo,81,11.83
141.148.230.30,443,443,true,FRA,Europe,Frankfurt,173,11.83
130.162.229.42,2053,443,true,FRA,Europe,Frankfurt,150,11.82
141.148.229.43,443,443,true,FRA,Europe,Frankfurt,186,11.82
138.2.25.122,2082,2082,false,NRT,Asia Pacific,Tokyo,78,11.81
151.145.71.40,2086,2086,false,NRT,Asia Pacific,Tokyo,90,11.81
158.101.211.173,443,443,true,FRA,Europe,Frankfurt,169,11.81
140.83.37.200,2082,2082,false,NRT,Asia Pacific,Tokyo,92,11.81
158.179.189.235,2096,2096,true,NRT,Asia Pacific,Tokyo,104,11.80
138.2.13.200,2086,2086,false,NRT,Asia Pacific,Tokyo,78,11.80
138.2.15.8,8443,8443,true,NRT,Asia Pacific,Tokyo,87,11.78
158.179.188.159,2082,2082,false,NRT,Asia Pacific,Tokyo,81,11.76
150.230.214.218,2082,2082,false,NRT,Asia Pacific,Tokyo,81,11.75
140.238.54.182,2096,2096,true,NRT,Asia Pacific,Tokyo,81,11.75
150.230.213.95,8880,8880,false,NRT,Asia Pacific,Tokyo,81,11.75
158.180.18.171,443,443,true,FRA,Europe,Frankfurt,244,11.73
140.83.37.200,80,80,false,NRT,Asia Pacific,Tokyo,97,11.72
144.21.32.193,2087,443,true,AMS,Europe,Amsterdam,168,11.72
141.144.207.93,443,443,true,IAD,North America,Ashburn,222,11.71
151.145.69.174,2053,2053,true,NRT,Asia Pacific,Tokyo,77,11.70
143.47.179.52,443,443,true,FRA,Europe,Frankfurt,179,11.68
158.179.189.235,2087,2087,true,NRT,Asia Pacific,Tokyo,84,11.68
151.145.65.8,2096,2096,true,NRT,Asia Pacific,Tokyo,80,11.67
141.147.167.40,8880,8880,false,NRT,Asia Pacific,Tokyo,80,11.66
150.230.99.173,2052,2052,false,NRT,Asia Pacific,Tokyo,84,11.66
158.179.189.235,2052,2052,false,NRT,Asia Pacific,Tokyo,84,11.65
151.145.65.203,2087,2087,true,NRT,Asia Pacific,Tokyo,87,11.64
138.2.20.230,2083,2083,true,NRT,Asia Pacific,Tokyo,79,11.64
158.101.188.30,443,443,true,CDG,Europe,Paris,166,11.62
150.230.106.21,2053,2053,true,NRT,Asia Pacific,Tokyo,128,11.62
